show_id,rating,duration,listed_in,score,votes,popularity
s1,PG-13,90 min,Documentaries,7.4,6636,7.2
s2,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",6.6,3180,6.3
s3,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",7,2640,6.9
s4,TV-MA,1 Season,"Docuseries, Reality TV",6.7,229,7
s5,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",9.1,71138,9.4
s6,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",7.7,110997,7.9
s7,PG,91 min,Children & Family Movies,6.8,3764,6.3
s8,TV-MA,125 min,"Dramas, Independent Movies, International Movies",7,710,6.7
s9,TV-14,9 Seasons,"British TV Shows, Reality TV",7.1,7086,6.7
s10,PG-13,104 min,"Comedies, Dramas",6.3,13097,6.3
s11,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",5.3,21125,4.9
s12,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",5.8,307,5.8
s13,TV-MA,127 min,"Dramas, International Movies",5.5,1177,5.3
s14,TV-PG,91 min,"Children & Family Movies, Comedies",5.2,1111,4.8
s15,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",7.1,1052,6.8
s16,TV-MA,4 Seasons,"TV Comedies, TV Dramas",6.1,25414,6.6
s17,TV-MA,67 min,"Documentaries, International Movies",5.8,3166,5.3
s18,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",5.6,26364,5.9
s19,TV-14,94 min,Thrillers,5.2,17071,4.7
s20,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",5.7,1848,5.9
s21,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",6.2,3763,6.4
s22,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",5.8,7094,5.4
s23,TV-PG,161 min,"Comedies, International Movies",4.4,11545,3.9
s24,TV-Y,61 min,Children & Family Movies,5.5,22081,5.2
s25,TV-14,166 min,"Comedies, International Movies, Romantic Movies",5.6,22776,5.8
s26,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",8.6,6066,8.3
s27,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",6.6,2699,7
s28,PG-13,103 min,Comedies,4.3,26649,4.7
s29,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",7.2,23222,7.1
s30,PG-13,106 min,Thrillers,5.4,13364,5.7
s31,TV-14,111 min,"Dramas, Independent Movies, International Movies",5.5,896,5.1
s32,TV-MA,1 Season,TV Comedies,5.4,1587,4.9
s33,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",8.4,273671,8.9
s34,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",8,435160,8.1
s35,TV-Y7,1 Season,Kids' TV,4.1,28264,4.1
s36,TV-MA,110 min,"Dramas, International Movies, Thrillers",5.5,3535,5.8
s37,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",6.9,10474,6.7
s38,TV-Y7,1 Season,"Kids' TV, TV Comedies",6.6,21280,6.4
s39,PG-13,96 min,"Action & Adventure, Dramas",7.6,26787,7.1
s40,TV-Y7,3 Seasons,Kids' TV,4.3,927,4.7
s41,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",5.8,1838,5.8
s42,PG,124 min,"Action & Adventure, Classic Movies, Dramas",8.1,600404,8.5
s43,PG,116 min,"Dramas, Horror Movies, Thrillers",5.8,78737,5.7
s44,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",5.8,23203,5.5
s45,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",6.9,10107,7.4
s46,PG,23 min,Documentaries,6.7,282,6.3
s47,R,115 min,Action & Adventure,6.2,10866,5.9
s48,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",6.3,118,6.1
s49,R,122 min,"Dramas, Thrillers",4.7,18573,4.7
s50,TV-MA,2 Seasons,"International TV Shows, TV Dramas",5.7,14173,5.8
s51,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",4,28115,4.4
s52,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",7.2,17132,7.1
s53,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",6.6,22935,6.6
s54,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",4,18245,4.1
