Number,Time,Status,Duration (Seconds),Access Code,Email Address,IP Address,Country,Region,City / Town / District,Latitude,Longitude,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,10/3/2023 17:49,Completed,11646,,,100.36.167.226,United States,Virginia,Fairfax,-77.2891,38.8209,4.0,Female,23,63,Taiwan,economics,12/31/2021,App,not working,Some,little/none,Some,yes,yes,empty
2,10/3/2023 17:49,Completed,113,,,98.169.26.134,United States,Virginia,Fairfax,-77.263,38.8605,2.0,Female,24,59,India,Finance ,5/1/2021,App,part time,Average,Average,little/none,yes,no,empty
3,10/3/2023 17:49,Completed,572,,,98.169.52.23,United States,Virginia,Greenway Downs,-77.2331,38.9645,2.0,Male,40,70,India,Computer Applications,6/1/2022,App,full time,Some,little/none,Average,no,not sure,"As part of my work, I have access to a lot of valuable row data. I know I could use them for generating meaningful information and to take informed decisions. The goal is to use the techniques learned in these data analytics sessions to be used at work and also outside work to do some research activities."
4,10/3/2023 17:50,Completed,365,,,69.255.182.253,United States,Virginia,Gainesville,-77.6308,38.8175,2.0,Prefer not to answer,26,66,South Korea,Business Management,12/31/2021,Mic,not working,Average,Frequent,Some,no,yes,empty
5,10/3/2023 17:51,Completed,92,,,138.88.108.230,United States,,,-97.822,37.751,2.0,Male,30,70,US,Yes,1/1/2021,App,full time,Some,Some,Average,no,yes,Learn
6,10/3/2023 17:59,Incomplete,221,,,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,2.0,Female,25,,,,,,,,,,yes,no,empty
7,10/3/2023 18:23,Completed,115983,,,108.48.175.220,United States,Virginia,Arlington,-77.0987,38.86,2.0,NonBinary,24,70,pakistan,Finance,7/15/2022,Mic,part time,Average,Average,Average,no,no,To deduce meaningful interpretation for Financial data in order to hedge against risks and provide higher returns.
8,10/3/2023 19:10,Incomplete,40,,,173.67.199.85,United States,Virginia,Ashburn,-77.539,39.018,2.0,Female,30,5.2,,,,,,,,,yes,no,empty
9,10/3/2023 19:25,Completed,137,,,74.96.114.12,United States,Virginia,Woodbridge,-77.3197,38.678,2.0,Male,24,71,china,Economic,12/15/2021,Mic,full time,Some,Frequent,Average,yes,no,empty
10,10/3/2023 19:56,Incomplete,179,,,107.77.241.32,United States,Texas,,-96.8217,32.7787,4.0,Male,26,71,Uzbekistan ,Economics with Finance ,,,,,,,no,no,empty
11,10/3/2023 20:14,Completed,127,,,138.88.182.245,United States,Maryland,Takoma Park,-77.004,38.9827,2.0,Female,24,66,USA,BIT,5/1/2022,Mic,not working,little/none,little/none,Some,no,no,To see if it is a field I am interested in pursuing as a career after graduating.
12,10/3/2023 21:38,Completed,269,,,72.83.246.60,United States,Virginia,Fairfax,-77.263,38.8605,4.0,Female,25,66,India,Computer Engineering,5/31/2021,Mic,not working,Frequent,Average,Frequent,no,yes,To learn and explore cutting edge data technologies and build applications that would be helpful for society.
13,10/3/2023 21:41,Completed,117,,,96.241.43.105,United States,Virginia,Chantilly,-77.4512,38.9036,2.0,Male,25,69,Romania,Biology,8/26/2021,App,part time,Some,Average,Average,no,yes,Learn to select the appropriate tools to conduct data analysis. 
