Id,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,PavedDrive,SaleCondition,SalePrice
1,8450,7,5,2003,856,856,854,1710,1,0,2,1,3,1,0,2,Y,Normal,208500
2,9600,6,8,1976,1262,1262,0,1262,0,1,2,0,3,1,1,2,Y,Normal,181500
3,11250,7,5,2001,920,920,866,1786,1,0,2,1,3,1,1,2,Y,Normal,223500
4,9550,7,5,1915,756,961,756,1717,1,0,1,0,3,1,1,3,Y,Abnorml,140000
5,14260,8,5,2000,1145,1145,1053,2198,1,0,2,1,4,1,1,3,Y,Normal,250000
6,14115,5,5,1993,796,796,566,1362,1,0,1,1,1,1,0,2,Y,Normal,143000
7,10084,8,5,2004,1686,1694,0,1694,1,0,2,0,3,1,1,2,Y,Normal,307000
8,10382,7,6,1973,1107,1107,983,2090,1,0,2,1,3,1,2,2,Y,Normal,200000
9,6120,7,5,1931,952,1022,752,1774,0,0,2,0,2,2,2,2,Y,Abnorml,129900
10,7420,5,6,1939,991,1077,0,1077,1,0,1,0,2,2,2,1,Y,Normal,118000
11,11200,5,5,1965,1040,1040,0,1040,1,0,1,0,3,1,0,1,Y,Normal,129500
12,11924,9,5,2005,1175,1182,1142,2324,1,0,3,0,4,1,2,3,Y,Partial,345000
13,12968,5,6,1962,912,912,0,912,1,0,1,0,2,1,0,1,Y,Normal,144000
14,10652,7,5,2006,1494,1494,0,1494,0,0,2,0,3,1,1,3,Y,Partial,279500
15,10920,6,5,1960,1253,1253,0,1253,1,0,1,1,2,1,1,1,Y,Normal,157000
16,6120,7,8,1929,832,854,0,854,0,0,1,0,2,1,0,2,Y,Normal,132000
17,11241,6,7,1970,1004,1004,0,1004,1,0,1,0,2,1,1,2,Y,Normal,149000
18,10791,4,5,1967,0,1296,0,1296,0,0,2,0,2,2,0,2,Y,Normal,90000
19,13695,5,5,2004,1114,1114,0,1114,1,0,1,1,3,1,0,2,Y,Normal,159000
20,7560,5,6,1958,1029,1339,0,1339,0,0,1,0,3,1,0,1,Y,Abnorml,139000
21,14215,8,5,2005,1158,1158,1218,2376,0,0,3,1,4,1,1,3,Y,Partial,325300
22,7449,7,7,1930,637,1108,0,1108,0,0,1,0,3,1,1,1,N,Normal,139400
23,9742,8,5,2002,1777,1795,0,1795,0,0,2,0,3,1,1,2,Y,Normal,230000
24,4224,5,7,1976,1040,1060,0,1060,1,0,1,0,3,1,1,2,Y,Normal,129900
25,8246,5,8,1968,1060,1060,0,1060,1,0,1,0,3,1,1,1,Y,Normal,154000
26,14230,8,5,2007,1566,1600,0,1600,0,0,2,0,3,1,1,3,Y,Normal,256300
27,7200,5,7,1951,900,900,0,900,0,1,1,0,3,1,0,2,Y,Normal,134800
28,11478,8,5,2007,1704,1704,0,1704,1,0,2,0,3,1,1,3,Y,Normal,306000
29,16321,5,6,1957,1484,1600,0,1600,1,0,1,0,2,1,2,1,Y,Normal,207500
30,6324,4,6,1927,520,520,0,520,0,0,1,0,1,1,0,1,Y,Normal,68500
31,8500,4,4,1920,649,649,668,1317,0,0,1,0,3,1,0,1,N,Normal,40000
32,8544,5,6,1966,1228,1228,0,1228,0,0,1,1,3,1,0,1,Y,Normal,149350
33,11049,8,5,2007,1234,1234,0,1234,0,0,2,0,3,1,0,2,Y,Normal,179900
34,10552,5,5,1959,1398,1700,0,1700,0,1,1,1,4,1,1,2,Y,Normal,165500
35,7313,9,5,2005,1561,1561,0,1561,1,0,2,0,2,1,1,2,Y,Normal,277500
36,13418,8,5,2004,1117,1132,1320,2452,0,0,3,1,4,1,1,3,Y,Normal,309000
37,10859,5,5,1994,1097,1097,0,1097,0,0,1,1,3,1,0,2,Y,Normal,145000
38,8532,5,6,1954,1297,1297,0,1297,0,1,1,0,3,1,1,2,Y,Normal,153000
39,7922,5,7,1953,1057,1057,0,1057,1,0,1,0,3,1,0,1,Y,Abnorml,109000
40,6040,4,5,1955,0,1152,0,1152,0,0,2,0,2,2,0,0,N,AdjLand,82000
41,8658,6,5,1965,1088,1324,0,1324,0,0,2,0,3,1,1,2,Y,Abnorml,160000
42,16905,5,6,1959,1350,1328,0,1328,0,1,1,1,2,1,2,1,P,Normal,170000
43,9180,5,7,1983,840,884,0,884,1,0,1,0,2,1,0,2,Y,Normal,144000
44,9200,5,6,1975,938,938,0,938,1,0,1,0,3,1,0,1,Y,Normal,130250
45,7945,5,6,1959,1150,1150,0,1150,1,0,1,0,3,1,0,1,Y,Normal,141000
46,7658,9,5,2005,1752,1752,0,1752,1,0,2,0,2,1,1,2,Y,Normal,319900
47,12822,7,5,2003,1434,1518,631,2149,1,0,1,1,1,1,1,2,Y,Abnorml,239686
48,11096,8,5,2006,1656,1656,0,1656,0,0,2,0,3,1,0,3,Y,Normal,249700
49,4456,4,5,1920,736,736,716,1452,0,0,2,0,2,3,0,0,N,Partial,113000
50,7742,5,7,1966,955,955,0,955,1,0,1,0,3,1,0,1,Y,Normal,127000
51,13869,6,6,1997,794,794,676,1470,0,1,2,0,3,1,0,2,Y,Normal,177000
52,6240,6,6,1934,816,816,0,1176,0,0,1,0,3,1,1,2,Y,Normal,114500
53,8472,5,5,1963,816,816,0,816,1,0,1,0,2,1,0,2,Y,Normal,110000
54,50271,9,5,1981,1842,1842,0,1842,2,0,0,1,0,1,1,3,Y,Normal,385000
55,7134,5,5,1955,384,1360,0,1360,0,0,1,0,3,1,1,2,Y,Normal,130000
56,10175,6,5,1964,1425,1425,0,1425,0,0,2,0,3,1,1,2,Y,Normal,180500
57,2645,8,5,1999,970,983,756,1739,1,0,2,1,3,1,0,2,Y,Abnorml,172500
58,11645,7,5,2004,860,860,860,1720,0,0,2,1,3,1,0,2,Y,Normal,196500
59,13682,10,5,2006,1410,1426,1519,2945,0,0,3,1,3,1,1,3,Y,Partial,438780
60,7200,5,7,1972,780,780,0,780,0,0,1,0,2,1,0,1,Y,Normal,124900
61,13072,6,5,2004,1158,1158,0,1158,1,0,1,1,3,1,0,2,Y,Partial,158000
62,7200,5,7,1920,530,581,530,1111,0,0,1,0,3,1,0,1,N,Normal,101000
63,6442,8,5,2006,1370,1370,0,1370,0,0,2,0,2,1,1,2,Y,Normal,202500
64,10300,7,6,1921,576,902,808,1710,0,0,2,0,3,1,0,2,Y,Normal,140000
65,9375,7,5,1997,1057,1057,977,2034,1,0,2,1,3,1,0,2,Y,Normal,219500
66,9591,8,5,2004,1143,1143,1330,2473,0,0,2,1,4,1,1,3,Y,Normal,317000
67,19900,7,5,1970,1947,2207,0,2207,1,0,2,0,3,1,1,2,Y,Normal,180000
68,10665,7,5,2003,1453,1479,0,1479,1,0,2,0,3,1,0,2,Y,Normal,226000
69,4608,4,6,1945,747,747,0,747,0,0,1,0,2,1,0,1,Y,Normal,80000
70,15593,7,4,1953,1304,1304,983,2287,0,0,2,0,3,1,1,2,Y,Normal,225000
71,13651,7,6,1973,2223,2223,0,2223,1,0,2,0,3,1,2,2,Y,Normal,244000
72,7599,4,6,1982,845,845,0,845,1,0,1,0,2,1,0,2,Y,Normal,129500
73,10141,7,5,1998,832,885,833,1718,0,0,2,1,3,1,1,2,Y,Normal,185000
74,10200,5,7,1954,1086,1086,0,1086,1,0,1,0,3,1,0,2,Y,Normal,144900
75,5790,3,6,1915,840,840,765,1605,0,0,2,0,3,2,0,1,Y,Normal,107400
76,1596,4,5,1973,462,526,462,988,1,0,1,0,2,1,0,1,Y,Normal,91000
77,8475,4,7,1956,952,952,0,952,0,0,1,0,2,1,0,1,Y,Normal,135750
78,8635,5,5,1948,672,1072,213,1285,1,0,1,0,2,1,0,1,Y,Normal,127000
79,10778,4,5,1968,1768,1768,0,1768,0,0,2,0,4,2,0,0,Y,Normal,136500
80,10440,5,6,1910,440,682,548,1230,0,0,1,1,2,1,0,2,Y,Normal,110000
81,13000,6,6,1968,896,1182,960,2142,0,0,2,1,4,1,1,1,Y,Normal,193500
82,4500,6,5,1998,1237,1337,0,1337,1,0,2,0,2,1,0,2,Y,Normal,153500
83,10206,8,5,2007,1563,1563,0,1563,0,0,2,0,3,1,1,3,Y,Normal,245000
84,8892,5,5,1960,1065,1065,0,1065,0,0,1,1,3,1,0,2,Y,Normal,126500
85,8530,7,5,1995,384,804,670,1474,0,0,2,1,3,1,1,2,Y,Normal,168500
86,16059,8,5,1991,1288,1301,1116,2417,0,0,2,1,4,1,1,2,Y,Normal,260000
87,11911,6,5,2005,684,684,876,1560,0,0,2,1,3,1,1,2,Y,Normal,174000
88,3951,6,5,2009,612,612,612,1224,0,0,2,1,2,1,0,2,Y,Partial,164500
89,8470,3,2,1915,1013,1013,0,1526,0,0,1,0,2,1,0,0,N,Abnorml,85000
90,8070,4,5,1994,990,990,0,990,1,0,1,0,3,1,0,0,Y,Normal,123600
91,7200,4,5,1950,0,1040,0,1040,0,0,1,0,2,1,0,2,Y,Normal,109900
92,8500,5,3,1961,1235,1235,0,1235,0,0,1,0,2,1,0,2,Y,Abnorml,98600
93,13360,5,7,1921,876,964,0,964,1,0,1,0,2,1,0,2,Y,Normal,163500
94,7200,6,6,1910,1214,1260,1031,2291,0,1,2,0,4,2,1,2,Y,Normal,133900
