GRE_Score,TOEFL_Score,University_Rating, SOP,LOR ,CGPA,Research,Admit
337,118,4,4.5,4.5,9.65,YES,YES
324,107,4,4,4.5,8.87,YES,YES
316,104,3,3,3.5,8,YES,YES
322,110,3,3.5,2.5,8.67,YES,YES
314,103,2,2,3,8.21,NO,YES
330,115,5,4.5,3,9.34,YES,YES
321,109,3,3,4,8.2,YES,YES
308,101,2,3,4,7.9,NO,YES
302,102,1,2,1.5,8,NO,NO
323,108,3,3.5,3,8.6,NO,NO
325,106,3,3.5,4,8.4,YES,YES
327,111,4,4,4.5,9,YES,YES
328,112,4,4,4.5,9.1,YES,YES
307,109,3,4,3,8,YES,YES
311,104,3,3.5,2,8.2,YES,YES
314,105,3,3.5,2.5,8.3,NO,YES
317,107,3,4,3,8.7,NO,YES
319,106,3,4,3,8,YES,YES
318,110,3,4,3,8.8,NO,YES
303,102,3,3.5,3,8.5,NO,YES
312,107,3,3,2,7.9,YES,YES
325,114,4,3,2,8.4,NO,YES
328,116,5,5,5,9.5,YES,YES
334,119,5,5,4.5,9.7,YES,YES
336,119,5,4,3.5,9.8,YES,YES
340,120,5,4.5,4.5,9.6,YES,YES
322,109,5,4.5,3.5,8.8,NO,YES
298,98,2,1.5,2.5,7.5,YES,NO
295,93,1,2,2,7.2,NO,NO
310,99,2,1.5,2,7.3,NO,YES
300,97,2,3,3,8.1,YES,YES
327,103,3,4,4,8.3,YES,YES
338,118,4,3,4.5,9.4,YES,YES
340,114,5,4,4,9.6,YES,YES
331,112,5,4,5,9.8,YES,YES
320,110,5,5,5,9.2,YES,YES
299,106,2,4,4,8.4,NO,YES
300,105,1,1,2,7.8,NO,YES
304,105,1,3,1.5,7.5,NO,YES
307,108,2,4,3.5,7.7,NO,NO
308,110,3,3.5,3,8,YES,NO
316,105,2,2.5,2.5,8.2,YES,NO
313,107,2,2.5,2,8.5,YES,YES
332,117,4,4.5,4,9.1,NO,YES
326,113,5,4.5,4,9.4,YES,YES
322,110,5,5,4,9.1,YES,YES
329,114,5,4,5,9.3,YES,YES
339,119,5,4.5,4,9.7,NO,YES
321,110,3,3.5,5,8.85,YES,YES
327,111,4,3,4,8.4,YES,YES
313,98,3,2.5,4.5,8.3,YES,YES
312,100,2,1.5,3.5,7.9,YES,YES
334,116,4,4,3,8,YES,YES
324,112,4,4,2.5,8.1,YES,YES
322,110,3,3,3.5,8,NO,YES
320,103,3,3,3,7.7,NO,YES
316,102,3,2,3,7.4,NO,YES
298,99,2,4,2,7.6,NO,NO
300,99,1,3,2,6.8,YES,NO
311,104,2,2,2,8.3,NO,NO
309,100,2,3,3,8.1,NO,NO
307,101,3,4,3,8.2,NO,NO
304,105,2,3,3,8.2,YES,YES
315,107,2,4,3,8.5,YES,YES
325,111,3,3,3.5,8.7,NO,YES
325,112,4,3.5,3.5,8.92,NO,YES
327,114,3,3,3,9.02,NO,YES
316,107,2,3.5,3.5,8.64,YES,YES
318,109,3,3.5,4,9.22,YES,YES
328,115,4,4.5,4,9.16,YES,YES
332,118,5,5,5,9.64,YES,YES
336,112,5,5,5,9.76,YES,YES
321,111,5,5,5,9.45,YES,YES
314,108,4,4.5,4,9.04,YES,YES
314,106,3,3,5,8.9,NO,YES
329,114,2,2,4,8.56,YES,YES
327,112,3,3,3,8.72,YES,YES
301,99,2,3,2,8.22,NO,YES
296,95,2,3,2,7.54,YES,NO
294,93,1,1.5,2,7.36,NO,NO
312,105,3,2,3,8.02,YES,NO
340,120,4,5,5,9.5,YES,YES
320,110,5,5,4.5,9.22,YES,YES
322,115,5,4,4.5,9.36,YES,YES
340,115,5,4.5,4.5,9.45,YES,YES
319,103,4,4.5,3.5,8.66,NO,YES
315,106,3,4.5,3.5,8.42,NO,YES
317,107,2,3.5,3,8.28,NO,YES
314,108,3,4.5,3.5,8.14,NO,YES
316,109,4,4.5,3.5,8.76,YES,YES
318,106,2,4,4,7.92,YES,YES
299,97,3,5,3.5,7.66,NO,NO
298,98,2,4,3,8.03,NO,NO
301,97,2,3,3,7.88,YES,NO
303,99,3,2,2.5,7.66,NO,NO
304,100,4,1.5,2.5,7.84,NO,NO
306,100,2,3,3,8,NO,NO
331,120,3,4,4,8.96,YES,YES
332,119,4,5,4.5,9.24,YES,YES
323,113,3,4,4,8.88,YES,YES
322,107,3,3.5,3.5,8.46,YES,YES
312,105,2,2.5,3,8.12,NO,YES
314,106,2,4,3.5,8.25,NO,YES
